date,strategy,stock,action,price,amount,commission,profit,volume
2021-04-21,NewPenny,PLYZ,BOT,0.0026,6000,0.156,0,
2021-04-21,NewPenny,PLYZ,BOT,0.0026,16200,0.4212,0,
2021-04-21,NewPenny,PLYZ,BOT,0.0026,16261,0.422786,0,
2021-04-21,NewPenny,PLYZ,SLD,0.0033,38461,6.227483,19.695231,
2021-04-22,2xVolumePenny,SMOFF,BOT,0.15,333,0.4995,0,
2021-04-22,2xVolumePenny,SEAC,BOT,1.17,42,0.4914,0,
2021-04-22,2xVolumePenny,GRNQ,BOT,2.11,23,0.4853,0,
2021-04-22,2xVolumePenny,BLRX,BOT,2.91,17,0.4947,0,
2021-04-22,2xVolumePenny,GSMG,BOT,4.38,11,0.5148,0,
2021-04-22,2xVolumePenny,QMCO,BOT,8.58,5,0.429,0,
2021-04-22,2xVolumePenny,BNGO,BOT,6.27,7,0.4389,0,
2021-04-22,2xVolumePenny,REAXF,BOT,1.92,26,0.4992,0,
2021-04-22,2xVolumePenny,BNXAF,BOT,5.28,9,0.4752,0,
2021-04-22,2xVolumePenny,UXIN,BOT,1.35,37,0.4995,0,
2021-04-22,2xVolumePenny,OCG,BOT,6.22,8,0.4976,0,
2021-04-22,2xVolumePenny,UGEIF,BOT,1.4,35,0.49,0,
2021-04-22,2xVolumePenny,MYMD,BOT,4.55,10,0.455,0,
2021-04-22,2xVolumePenny,TBPMF,BOT,0.19,263,0.4997,0,
2021-04-22,2xVolumePenny,VERB,BOT,1.23,40,0.492,0,
2021-04-22,2xVolumePenny,OCGN,BOT,7.2,6,0.432,0,
2021-04-22,2xVolumePenny,MNTK,BOT,9.6,5,0.494,0,
2021-04-23,VWAP&LAST>EMA20,WIZP,BOT,1.04,10,0.104,0,
2021-04-23,VWAP&LAST>EMA20,LOWLF,BOT,1.58,6,0.0948,0,
2021-04-23,VWAP&LAST>EMA20,HSCHF,BOT,0.13,79,0.1027,0,
2021-04-23,VWAP&LAST>EMA20,PMCB,BOT,0.02,526,0.1052,0,
2021-04-23,VWAP&LAST>EMA20,QYOUF,BOT,0.36,28,0.1008,0,
2021-04-23,VWAP&LAST>EMA20,INLB,BOT,4.2,2,0.084,0,
2021-04-23,VWAP&LAST>EMA20,FFNTF,BOT,1.43,7,0.1001,0,
2021-04-23,VWAP&LAST>EMA20,NOVN,BOT,1.39,7,0.1183,0,
2021-04-23,VWAP&LAST>EMA20,TRCH,BOT,1.84,5,0.092,0,
2021-04-23,VWAP&LAST>EMA20,NLPXF,BOT,0.118,88,0.10384,0,
2021-04-23,VWAP&LAST>EMA20,JSDA,BOT,0.64,16,0.1024,0,
2021-04-23,VWAP&LAST>EMA20,ONTX,BOT,0.79,13,0.1027,0,
2021-04-23,VWAP&LAST>EMA20,TMASF,BOT,1.05,10,0.105,0,
2021-04-23,VWAP&LAST>EMA20,ADMA,BOT,1.93,5,0.0965,0,
2021-04-23,VWAP&LAST>EMA20,BBIG,BOT,2.39,4,0.1068,0,
2021-04-23,VWAP&LAST>EMA20,WMLLF,BOT,0.29,35,0.1015,0,
2021-04-23,VWAP&LAST>EMA20,DTRC,BOT,0.69,15,0.1035,0,
2021-04-23,VWAP&LAST>EMA20,VEXTF,BOT,0.77,13,0.1001,0,
2021-04-23,VWAP&LAST>EMA20,TBPMF,BOT,0.2188,48,0.105024,0,
2021-04-23,VWAP&LAST>EMA20,SBLRF,BOT,0.24,44,0.1056,0,
2021-04-23,VWAP&LAST>EMA20,CNTRF,BOT,1.82,5,0.091,0,
2021-04-23,VWAP&LAST>EMA20,LOWLF,SLD,1.33,6,0.097955,-1.692755,319.327
2021-04-23,VWAP&LAST>EMA20,IKT,BOT,5.94,1,0.0622,0,
2021-04-23,VWAP&LAST>EMA20,OCGN,BOT,9.54,1,0.0954,0,
2021-04-23,VWAP&LAST>EMA20,AAU,BOT,0.5699,17,0.125948,0,
2021-04-23,VWAP&LAST>EMA20,WLMS,BOT,4.87,2,0.103,0,
2021-04-23,VWAP&LAST>EMA20,HSCHF,SLD,0.1146,79,0.102351,-1.421651,838.435
2021-04-23,VWAP&LAST>EMA20,PMCB,SLD,0.0178,526,0.15627,-1.41867,12.988.432
2021-04-23,VWAP&LAST>EMA20,LLIT,BOT,9.72,1,0.0972,0,
2021-04-23,VWAP&LAST>EMA20,SMTS,BOT,3.48,2,0.0756,0,
2021-04-23,VWAP&LAST>EMA20,KFS,BOT,4.7,2,0.1,0,
2021-04-23,VWAP&LAST>EMA20,SBOW,BOT,9.31,1,0.0931,0,
2021-04-23,VWAP&LAST>EMA20,NRT,BOT,4.98,1,0.0528,0,
2021-04-23,VWAP&LAST>EMA20,SJT,BOT,4.79,2,0.1018,0,
2021-04-23,VWAP&LAST>EMA20,LYTS,BOT,9.2,1,0.095,0,
2021-04-23,VWAP&LAST>EMA20,OCGN,SLD,9.32,1,0.095967,1.614405,61.668.787
2021-04-23,VWAP&LAST>EMA20,BLGO,BOT,0.21,49,0.1029,0,
2021-04-23,VWAP&LAST>EMA20,SGGTF,BOT,0.16,67,0.1072,0,
2021-04-23,VWAP&LAST>EMA20,IPCIF,BOT,0.22,47,0.1034,0,
2021-04-23,VWAP&LAST>EMA20,PBIO,BOT,2.19,4,0.0876,0,
2021-04-23,VWAP&LAST>EMA20,WIZP,SLD,0.8556,10,0.086794,-2.034794,142.029
2021-04-23,VWAP&LAST>EMA20,MNKD,BOT,4.69,2,0.0938,0,
2021-04-23,VWAP&LAST>EMA20,TBPMF,SLD,0.2176,48,0.111653,0.906452,691.953
2021-04-23,VWAP&LAST>EMA20,BLGO,SLD,0.1826,49,0.095351,-1.540851,802.614
2021-04-23,VWAP&LAST>EMA20,TRCH,SLD,1.75,5,0.10114,-0.64314,25.469.817
2021-04-23,VWAP&LAST>EMA20,NOVN,SLD,1.26,7,0.107278,-1.135578,10.478.506
2021-04-23,VWAP&LAST>EMA20,ONTX,SLD,0.725,13,0.123649,-1.071349,43.432.777
2021-04-23,VWAP&LAST>EMA20,BBIG,SLD,2.57,4,0.103328,0.509872,3.198.996
2021-04-23,2xVolumePenny&Osc,OGEN,BOT,0.815,12,0.12714,0,
2021-04-23,2xVolumePenny&Osc,TRYPF,BOT,0.5305,18,0.09603,0,
2021-04-23,2xVolumePenny,MYMD,SLD,4.04,10,0.405396,-5.960396,3.248.839
2021-04-23,2xVolumePenny&Osc,PSYCF,BOT,0.2665,37,0.099715,0,
2021-04-23,2xVolumePenny&Osc,TARSF,BOT,0.1007,99,0.102663,0,
2021-04-23,2xVolumePenny&Osc,NSRXF,BOT,0.8429,11,0.093049,0,
2021-04-23,2xVolumePenny&Osc,PANL,BOT,3.05,3,0.0915,0,
2021-04-23,2xVolumePenny&Osc,FPAY,BOT,2.79,3,0.0837,0,
2021-04-23,2xVolumePenny&Osc,UXIN,BOT,1.7,5,0.085,0,
2021-04-23,2xVolumePenny&Osc,WMLLF,BOT,0.3088,32,0.099776,0,
2021-04-23,2xVolumePenny&Osc,MMEDF,BOT,3.45,2,0.0748,0,
2021-04-23,2xVolumePenny&Osc,RENN,BOT,9.8,1,0.1008,0,
2021-04-23,2xVolumePenny&Osc,UONEK,BOT,2.03,4,0.0812,0,
2021-04-23,2xVolumePenny&Osc,FRBK,BOT,4.02,2,0.0804,0,
2021-04-23,2xVolumePenny&Osc,TBPMF,BOT,0.2773,36,0.100908,0,
2021-04-23,2xVolumePenny&Osc,NRVTF,BOT,0.4895,20,0.0985,0,
2021-04-23,2xVolumePenny&Osc,RVSB,BOT,7.41,1,0.0741,0,
2021-04-23,2xVolumePenny&Osc,PLG,BOT,5.06,1,0.0532,0,
2021-04-23,2xVolumePenny&Osc,SYPR,BOT,4.41,2,0.0934,0,
2021-04-23,2xVolumePenny&Osc,GSM,BOT,4.06,2,0.0812,0,
2021-04-23,2xVolumePenny&Osc,XXII,BOT,4.94,2,0.0988,0,
2021-04-23,2xVolumePenny&Osc,SBLRF,BOT,0.2493,42,0.105966,0,
2021-04-23,2xVolumePenny&Osc,UEXCF,BOT,0.2849,35,0.100765,0,
2021-04-23,2xVolumePenny&Osc,PLSDF,BOT,1.53,6,0.1092,0,
2021-04-23,2xVolumePenny&Osc,ASPCF,BOT,0.055,181,0.10498,0,
2021-04-23,2xVolumePenny&Osc,ROVMF,BOT,0.09,120,0.108,0,
2021-04-23,2xVolumePenny&Osc,KITL,BOT,0.16,63,0.1008,0,
2021-04-23,2xVolumePenny,BNXAF,SLD,5,9,0.4774,-3.4726,118.425
2021-04-23,2xVolumePenny,OCGN,SLD,11.61,6,0.715669,23.286559,61.668.787
2021-04-23,2xVolumePenny,VERB,SLD,1.23,40,0.601011,-1.093011,1.862.140
2021-04-23,2xVolumePenny,SEAC,SLD,1.15,42,0.605844,-1.937244,11.366.867
2021-04-23,2xVolumePenny,SMOFF,SLD,0.1441,333,0.529715,-2.993915,49.409
2021-04-23,2xVolumePenny,UGEIF,SLD,1.39,35,0.592413,-1.432413,18.285
2021-04-23,2xVolumePenny,QMCO,SLD,8.43,5,0.43531,-1.61431,493.193
2021-04-23,2xVolumePenny,GSMG,SLD,3.88,11,0.461327,-6.476127,247.767
2021-04-23,2xVolumePenny,GRNQ,SLD,1.96,23,0.453767,-4.389067,3.994.583
